,model,type,var,importance
13,model_0_1,nested_full,cat14,210
14,model_0_1,nested_full,cat15,0
15,model_0_1,nested_full,cat16,537
16,model_0_1,nested_full,cat17,107
17,model_0_1,nested_full,cat18,136
18,model_0_1,nested_full,cat19,124
19,model_0_1,nested_full,cat20,8
20,model_0_1,nested_full,cat21,73
21,model_0_1,nested_full,cat22,0
22,model_0_1,nested_full,cat23,1276
23,model_0_1,nested_full,cat24,505
24,model_0_1,nested_full,cat25,965
25,model_0_1,nested_full,cat26,752
26,model_0_1,nested_full,cat27,877
27,model_0_1,nested_full,cat28,577
28,model_0_1,nested_full,cat29,394
29,model_0_1,nested_full,cat30,285
30,model_0_1,nested_full,cat31,543
31,model_0_1,nested_full,cat32,124
32,model_0_1,nested_full,cat33,132
33,model_0_1,nested_full,cat34,71
34,model_0_1,nested_full,cat35,27
35,model_0_1,nested_full,cat36,1304
36,model_0_1,nested_full,cat37,1071
37,model_0_1,nested_full,cat38,1079
38,model_0_1,nested_full,cat39,409
39,model_0_1,nested_full,cat40,742
40,model_0_1,nested_full,cat41,547
41,model_0_1,nested_full,cat42,187
42,model_0_1,nested_full,cat43,343
43,model_0_1,nested_full,cat44,809
44,model_0_1,nested_full,cat45,458
45,model_0_1,nested_full,cat46,91
46,model_0_1,nested_full,cat47,62
47,model_0_1,nested_full,cat48,14
48,model_0_1,nested_full,cat49,508
49,model_0_1,nested_full,cat50,910
50,model_0_1,nested_full,cat51,175
51,model_0_1,nested_full,cat52,562
52,model_0_1,nested_full,cat53,804
53,model_0_1,nested_full,cat54,335
54,model_0_1,nested_full,cat55,31
55,model_0_1,nested_full,cat56,32
56,model_0_1,nested_full,cat57,544
57,model_0_1,nested_full,cat58,48
58,model_0_1,nested_full,cat59,29
59,model_0_1,nested_full,cat60,73
60,model_0_1,nested_full,cat61,123
61,model_0_1,nested_full,cat62,0
62,model_0_1,nested_full,cat63,45
63,model_0_1,nested_full,cat64,1
64,model_0_1,nested_full,cat65,227
65,model_0_1,nested_full,cat66,607
66,model_0_1,nested_full,cat67,122
67,model_0_1,nested_full,cat68,4
68,model_0_1,nested_full,cat69,19
69,model_0_1,nested_full,cat70,0
70,model_0_1,nested_full,cat71,223
71,model_0_1,nested_full,cat72,1920
72,model_0_1,nested_full,cat73,1296
73,model_0_1,nested_full,cat74,301
74,model_0_1,nested_full,cat75,1306
75,model_0_1,nested_full,cat76,855
76,model_0_1,nested_full,cat77,191
77,model_0_1,nested_full,cat78,275
78,model_0_1,nested_full,cat79,2000
79,model_0_1,nested_full,cat80,1782
80,model_0_1,nested_full,cat81,2444
81,model_0_1,nested_full,cat82,1056
82,model_0_1,nested_full,cat83,1032
83,model_0_1,nested_full,cat84,1732
84,model_0_1,nested_full,cat85,313
85,model_0_1,nested_full,cat86,596
86,model_0_1,nested_full,cat87,2394
87,model_0_1,nested_full,cat88,344
88,model_0_1,nested_full,cat89,136
89,model_0_1,nested_full,cat90,230
90,model_0_1,nested_full,cat91,1594
91,model_0_1,nested_full,cat92,360
92,model_0_1,nested_full,cat93,542
93,model_0_1,nested_full,cat94,484
94,model_0_1,nested_full,cat95,246
95,model_0_1,nested_full,cat96,70
96,model_0_1,nested_full,cat97,534
97,model_0_1,nested_full,cat98,225
98,model_0_1,nested_full,cat99,1271
99,model_0_1,nested_full,cat100,7515
100,model_0_1,nested_full,cat101,6237
101,model_0_1,nested_full,cat102,324
102,model_0_1,nested_full,cat103,2205
103,model_0_1,nested_full,cat104,2581
104,model_0_1,nested_full,cat105,1586
105,model_0_1,nested_full,cat106,2880
106,model_0_1,nested_full,cat107,4572
107,model_0_1,nested_full,cat108,2559
108,model_0_1,nested_full,cat109,1247
109,model_0_1,nested_full,cat110,10076
110,model_0_1,nested_full,cat111,2185
111,model_0_1,nested_full,cat112,14789
112,model_0_1,nested_full,cat113,11128
