,model,type,var,importance
72,model_1_2,nested_full,cat73,850
73,model_1_2,nested_full,cat74,209
74,model_1_2,nested_full,cat75,892
75,model_1_2,nested_full,cat76,476
76,model_1_2,nested_full,cat77,124
77,model_1_2,nested_full,cat78,182
78,model_1_2,nested_full,cat79,1382
79,model_1_2,nested_full,cat80,1364
80,model_1_2,nested_full,cat81,2261
81,model_1_2,nested_full,cat82,790
82,model_1_2,nested_full,cat83,758
83,model_1_2,nested_full,cat84,1227
84,model_1_2,nested_full,cat85,225
85,model_1_2,nested_full,cat86,405
86,model_1_2,nested_full,cat87,1697
87,model_1_2,nested_full,cat88,241
88,model_1_2,nested_full,cat89,307
89,model_1_2,nested_full,cat90,173
90,model_1_2,nested_full,cat91,1241
91,model_1_2,nested_full,cat92,251
92,model_1_2,nested_full,cat93,414
93,model_1_2,nested_full,cat94,310
94,model_1_2,nested_full,cat95,168
95,model_1_2,nested_full,cat96,44
96,model_1_2,nested_full,cat97,384
97,model_1_2,nested_full,cat98,114
98,model_1_2,nested_full,cat99,1032
99,model_1_2,nested_full,cat100,5904
100,model_1_2,nested_full,cat101,4810
101,model_1_2,nested_full,cat102,278
102,model_1_2,nested_full,cat103,2062
103,model_1_2,nested_full,cat104,1906
104,model_1_2,nested_full,cat105,1382
105,model_1_2,nested_full,cat106,2272
106,model_1_2,nested_full,cat107,3258
107,model_1_2,nested_full,cat108,2157
108,model_1_2,nested_full,cat109,947
109,model_1_2,nested_full,cat110,8426
110,model_1_2,nested_full,cat111,1619
111,model_1_2,nested_full,cat112,12352
112,model_1_2,nested_full,cat113,9495
113,model_1_2,nested_full,cat114,1865
114,model_1_2,nested_full,cat115,3644
115,model_1_2,nested_full,cat116,13957
116,model_1_2,nested_full,cont1,5320
117,model_1_2,nested_full,cont2,5687
118,model_1_2,nested_full,cont3,5291
119,model_1_2,nested_full,cont4,4071
120,model_1_2,nested_full,cont5,4829
121,model_1_2,nested_full,cont6,6140
122,model_1_2,nested_full,cont7,7940
123,model_1_2,nested_full,cont8,5759
124,model_1_2,nested_full,cont9,4278
125,model_1_2,nested_full,cont10,4232
126,model_1_2,nested_full,cont11,5235
127,model_1_2,nested_full,cont12,4450
128,model_1_2,nested_full,cont13,6008
129,model_1_2,nested_full,cont14,11749
0,model_2_0,nested_full,cat1,996
1,model_2_0,nested_full,cat2,984
2,model_2_0,nested_full,cat3,375
3,model_2_0,nested_full,cat4,990
4,model_2_0,nested_full,cat5,1045
5,model_2_0,nested_full,cat6,692
6,model_2_0,nested_full,cat7,269
7,model_2_0,nested_full,cat8,277
8,model_2_0,nested_full,cat9,956
9,model_2_0,nested_full,cat10,651
10,model_2_0,nested_full,cat11,525
11,model_2_0,nested_full,cat12,707
12,model_2_0,nested_full,cat13,529
13,model_2_0,nested_full,cat14,49
14,model_2_0,nested_full,cat15,0
15,model_2_0,nested_full,cat16,227
16,model_2_0,nested_full,cat17,54
17,model_2_0,nested_full,cat18,32
18,model_2_0,nested_full,cat19,61
19,model_2_0,nested_full,cat20,4
20,model_2_0,nested_full,cat21,53
21,model_2_0,nested_full,cat22,0
22,model_2_0,nested_full,cat23,776
23,model_2_0,nested_full,cat24,259
24,model_2_0,nested_full,cat25,537
25,model_2_0,nested_full,cat26,449
26,model_2_0,nested_full,cat27,532
27,model_2_0,nested_full,cat28,274
28,model_2_0,nested_full,cat29,207
29,model_2_0,nested_full,cat30,126
30,model_2_0,nested_full,cat31,294
31,model_2_0,nested_full,cat32,69
32,model_2_0,nested_full,cat33,35
33,model_2_0,nested_full,cat34,30
34,model_2_0,nested_full,cat35,25
35,model_2_0,nested_full,cat36,822
36,model_2_0,nested_full,cat37,749
37,model_2_0,nested_full,cat38,658
38,model_2_0,nested_full,cat39,240
39,model_2_0,nested_full,cat40,337
40,model_2_0,nested_full,cat41,327
41,model_2_0,nested_full,cat42,152
42,model_2_0,nested_full,cat43,165
43,model_2_0,nested_full,cat44,604
44,model_2_0,nested_full,cat45,285
45,model_2_0,nested_full,cat46,20
46,model_2_0,nested_full,cat47,41
47,model_2_0,nested_full,cat48,17
48,model_2_0,nested_full,cat49,300
49,model_2_0,nested_full,cat50,623
50,model_2_0,nested_full,cat51,61
51,model_2_0,nested_full,cat52,309
52,model_2_0,nested_full,cat53,519
53,model_2_0,nested_full,cat54,190
54,model_2_0,nested_full,cat55,10
55,model_2_0,nested_full,cat56,30
56,model_2_0,nested_full,cat57,337
57,model_2_0,nested_full,cat58,4
58,model_2_0,nested_full,cat59,2
59,model_2_0,nested_full,cat60,48
60,model_2_0,nested_full,cat61,79
61,model_2_0,nested_full,cat62,0
62,model_2_0,nested_full,cat63,0
63,model_2_0,nested_full,cat64,0
64,model_2_0,nested_full,cat65,98
65,model_2_0,nested_full,cat66,274
66,model_2_0,nested_full,cat67,85
67,model_2_0,nested_full,cat68,0
68,model_2_0,nested_full,cat69,8
69,model_2_0,nested_full,cat70,0
70,model_2_0,nested_full,cat71,75
71,model_2_0,nested_full,cat72,1450
72,model_2_0,nested_full,cat73,748
73,model_2_0,nested_full,cat74,117
74,model_2_0,nested_full,cat75,762
75,model_2_0,nested_full,cat76,336
76,model_2_0,nested_full,cat77,71
77,model_2_0,nested_full,cat78,116
78,model_2_0,nested_full,cat79,1310
79,model_2_0,nested_full,cat80,1509
80,model_2_0,nested_full,cat81,1903
81,model_2_0,nested_full,cat82,1112
82,model_2_0,nested_full,cat83,1011
83,model_2_0,nested_full,cat84,1013
84,model_2_0,nested_full,cat85,125
85,model_2_0,nested_full,cat86,361
86,model_2_0,nested_full,cat87,1356
87,model_2_0,nested_full,cat88,150
88,model_2_0,nested_full,cat89,160
89,model_2_0,nested_full,cat90,231
90,model_2_0,nested_full,cat91,1630
91,model_2_0,nested_full,cat92,374
92,model_2_0,nested_full,cat93,500
93,model_2_0,nested_full,cat94,450
94,model_2_0,nested_full,cat95,214
95,model_2_0,nested_full,cat96,58
96,model_2_0,nested_full,cat97,564
97,model_2_0,nested_full,cat98,160
98,model_2_0,nested_full,cat99,1360
99,model_2_0,nested_full,cat100,7314
100,model_2_0,nested_full,cat101,6057
101,model_2_0,nested_full,cat102,359
102,model_2_0,nested_full,cat103,2270
103,model_2_0,nested_full,cat104,2596
104,model_2_0,nested_full,cat105,1760
105,model_2_0,nested_full,cat106,3200
106,model_2_0,nested_full,cat107,4611
107,model_2_0,nested_full,cat108,2666
108,model_2_0,nested_full,cat109,1505
109,model_2_0,nested_full,cat110,9478
110,model_2_0,nested_full,cat111,2090
111,model_2_0,nested_full,cat112,13564
112,model_2_0,nested_full,cat113,11268
113,model_2_0,nested_full,cat114,2649
114,model_2_0,nested_full,cat115,4845
115,model_2_0,nested_full,cat116,14828
116,model_2_0,nested_full,cont1,4800
117,model_2_0,nested_full,cont2,5380
118,model_2_0,nested_full,cont3,4231
119,model_2_0,nested_full,cont4,3825
120,model_2_0,nested_full,cont5,4643
121,model_2_0,nested_full,cont6,5515
122,model_2_0,nested_full,cont7,7418
123,model_2_0,nested_full,cont8,4993
124,model_2_0,nested_full,cont9,3720
125,model_2_0,nested_full,cont10,3901
126,model_2_0,nested_full,cont11,4282
127,model_2_0,nested_full,cont12,3846
128,model_2_0,nested_full,cont13,4857
129,model_2_0,nested_full,cont14,10384
0,model_2_1,nested_full,cat1,1133
1,model_2_1,nested_full,cat2,1024
2,model_2_1,nested_full,cat3,467
3,model_2_1,nested_full,cat4,1015
4,model_2_1,nested_full,cat5,842
5,model_2_1,nested_full,cat6,738
6,model_2_1,nested_full,cat7,414
7,model_2_1,nested_full,cat8,568
8,model_2_1,nested_full,cat9,999
9,model_2_1,nested_full,cat10,758
10,model_2_1,nested_full,cat11,571
11,model_2_1,nested_full,cat12,854
12,model_2_1,nested_full,cat13,703
13,model_2_1,nested_full,cat14,103
14,model_2_1,nested_full,cat15,0
15,model_2_1,nested_full,cat16,300
16,model_2_1,nested_full,cat17,129
17,model_2_1,nested_full,cat18,63
18,model_2_1,nested_full,cat19,70
19,model_2_1,nested_full,cat20,2
20,model_2_1,nested_full,cat21,112
21,model_2_1,nested_full,cat22,27
22,model_2_1,nested_full,cat23,825
23,model_2_1,nested_full,cat24,419
24,model_2_1,nested_full,cat25,663
25,model_2_1,nested_full,cat26,576
26,model_2_1,nested_full,cat27,624
27,model_2_1,nested_full,cat28,413
28,model_2_1,nested_full,cat29,314
29,model_2_1,nested_full,cat30,391
30,model_2_1,nested_full,cat31,358
31,model_2_1,nested_full,cat32,107
32,model_2_1,nested_full,cat33,90
33,model_2_1,nested_full,cat34,41
34,model_2_1,nested_full,cat35,22
35,model_2_1,nested_full,cat36,1027
36,model_2_1,nested_full,cat37,877
37,model_2_1,nested_full,cat38,894
38,model_2_1,nested_full,cat39,573
39,model_2_1,nested_full,cat40,762
40,model_2_1,nested_full,cat41,756
41,model_2_1,nested_full,cat42,187
42,model_2_1,nested_full,cat43,719
43,model_2_1,nested_full,cat44,814
44,model_2_1,nested_full,cat45,512
45,model_2_1,nested_full,cat46,105
46,model_2_1,nested_full,cat47,34
47,model_2_1,nested_full,cat48,22
48,model_2_1,nested_full,cat49,344
49,model_2_1,nested_full,cat50,681
50,model_2_1,nested_full,cat51,102
51,model_2_1,nested_full,cat52,368
52,model_2_1,nested_full,cat53,646
53,model_2_1,nested_full,cat54,225
54,model_2_1,nested_full,cat55,35
55,model_2_1,nested_full,cat56,7
56,model_2_1,nested_full,cat57,488
57,model_2_1,nested_full,cat58,18
58,model_2_1,nested_full,cat59,18
59,model_2_1,nested_full,cat60,24
60,model_2_1,nested_full,cat61,156
61,model_2_1,nested_full,cat62,0
62,model_2_1,nested_full,cat63,8
63,model_2_1,nested_full,cat64,0
64,model_2_1,nested_full,cat65,204
65,model_2_1,nested_full,cat66,439
66,model_2_1,nested_full,cat67,106
67,model_2_1,nested_full,cat68,30
68,model_2_1,nested_full,cat69,63
69,model_2_1,nested_full,cat70,0
70,model_2_1,nested_full,cat71,139
71,model_2_1,nested_full,cat72,1624
72,model_2_1,nested_full,cat73,971
73,model_2_1,nested_full,cat74,261
74,model_2_1,nested_full,cat75,898
75,model_2_1,nested_full,cat76,572
76,model_2_1,nested_full,cat77,127
77,model_2_1,nested_full,cat78,143
78,model_2_1,nested_full,cat79,1780
79,model_2_1,nested_full,cat80,1731
80,model_2_1,nested_full,cat81,2216
81,model_2_1,nested_full,cat82,792
82,model_2_1,nested_full,cat83,775
83,model_2_1,nested_full,cat84,1396
84,model_2_1,nested_full,cat85,172
85,model_2_1,nested_full,cat86,425
86,model_2_1,nested_full,cat87,1679
87,model_2_1,nested_full,cat88,218
88,model_2_1,nested_full,cat89,107
89,model_2_1,nested_full,cat90,175
90,model_2_1,nested_full,cat91,1264
91,model_2_1,nested_full,cat92,286
92,model_2_1,nested_full,cat93,557
93,model_2_1,nested_full,cat94,314
94,model_2_1,nested_full,cat95,165
95,model_2_1,nested_full,cat96,20
96,model_2_1,nested_full,cat97,384
97,model_2_1,nested_full,cat98,114
98,model_2_1,nested_full,cat99,1012
99,model_2_1,nested_full,cat100,5994
100,model_2_1,nested_full,cat101,4687
101,model_2_1,nested_full,cat102,247
102,model_2_1,nested_full,cat103,2118
103,model_2_1,nested_full,cat104,1906
104,model_2_1,nested_full,cat105,1467
105,model_2_1,nested_full,cat106,2339
106,model_2_1,nested_full,cat107,3336
107,model_2_1,nested_full,cat108,2110
108,model_2_1,nested_full,cat109,1147
109,model_2_1,nested_full,cat110,9003
110,model_2_1,nested_full,cat111,1638
111,model_2_1,nested_full,cat112,12712
112,model_2_1,nested_full,cat113,10098
113,model_2_1,nested_full,cat114,1926
114,model_2_1,nested_full,cat115,3882
115,model_2_1,nested_full,cat116,14249
116,model_2_1,nested_full,cont1,5647
117,model_2_1,nested_full,cont2,6046
118,model_2_1,nested_full,cont3,5582
119,model_2_1,nested_full,cont4,4313
120,model_2_1,nested_full,cont5,5012
121,model_2_1,nested_full,cont6,6396
122,model_2_1,nested_full,cont7,8661
123,model_2_1,nested_full,cont8,5986
124,model_2_1,nested_full,cont9,4561
125,model_2_1,nested_full,cont10,4571
126,model_2_1,nested_full,cont11,5508
127,model_2_1,nested_full,cont12,4413
128,model_2_1,nested_full,cont13,6235
129,model_2_1,nested_full,cont14,12224
0,model_2_2,nested_full,cat1,501
1,model_2_2,nested_full,cat2,529
2,model_2_2,nested_full,cat3,216
3,model_2_2,nested_full,cat4,445
4,model_2_2,nested_full,cat5,450
5,model_2_2,nested_full,cat6,354
6,model_2_2,nested_full,cat7,160
7,model_2_2,nested_full,cat8,194
8,model_2_2,nested_full,cat9,417
9,model_2_2,nested_full,cat10,259
10,model_2_2,nested_full,cat11,285
11,model_2_2,nested_full,cat12,430
12,model_2_2,nested_full,cat13,310
13,model_2_2,nested_full,cat14,55
14,model_2_2,nested_full,cat15,0
15,model_2_2,nested_full,cat16,114
16,model_2_2,nested_full,cat17,27
17,model_2_2,nested_full,cat18,21
18,model_2_2,nested_full,cat19,50
19,model_2_2,nested_full,cat20,0
20,model_2_2,nested_full,cat21,88
21,model_2_2,nested_full,cat22,44
22,model_2_2,nested_full,cat23,352
23,model_2_2,nested_full,cat24,234
24,model_2_2,nested_full,cat25,370
25,model_2_2,nested_full,cat26,324
26,model_2_2,nested_full,cat27,355
27,model_2_2,nested_full,cat28,145
28,model_2_2,nested_full,cat29,133
29,model_2_2,nested_full,cat30,96
30,model_2_2,nested_full,cat31,324
31,model_2_2,nested_full,cat32,63
32,model_2_2,nested_full,cat33,21
33,model_2_2,nested_full,cat34,17
34,model_2_2,nested_full,cat35,18
35,model_2_2,nested_full,cat36,402
36,model_2_2,nested_full,cat37,402
37,model_2_2,nested_full,cat38,377
38,model_2_2,nested_full,cat39,252
39,model_2_2,nested_full,cat40,151
40,model_2_2,nested_full,cat41,269
41,model_2_2,nested_full,cat42,101
42,model_2_2,nested_full,cat43,84
43,model_2_2,nested_full,cat44,368
44,model_2_2,nested_full,cat45,114
45,model_2_2,nested_full,cat46,25
46,model_2_2,nested_full,cat47,26
47,model_2_2,nested_full,cat48,35
48,model_2_2,nested_full,cat49,220
49,model_2_2,nested_full,cat50,334
50,model_2_2,nested_full,cat51,92
51,model_2_2,nested_full,cat52,203
52,model_2_2,nested_full,cat53,377
53,model_2_2,nested_full,cat54,255
54,model_2_2,nested_full,cat55,29
55,model_2_2,nested_full,cat56,2
56,model_2_2,nested_full,cat57,256
57,model_2_2,nested_full,cat58,3
58,model_2_2,nested_full,cat59,10
59,model_2_2,nested_full,cat60,63
60,model_2_2,nested_full,cat61,89
61,model_2_2,nested_full,cat62,0
62,model_2_2,nested_full,cat63,16
63,model_2_2,nested_full,cat64,0
64,model_2_2,nested_full,cat65,86
65,model_2_2,nested_full,cat66,122
66,model_2_2,nested_full,cat67,66
67,model_2_2,nested_full,cat68,8
68,model_2_2,nested_full,cat69,9
69,model_2_2,nested_full,cat70,0
70,model_2_2,nested_full,cat71,48
71,model_2_2,nested_full,cat72,675
72,model_2_2,nested_full,cat73,458
73,model_2_2,nested_full,cat74,64
74,model_2_2,nested_full,cat75,400
75,model_2_2,nested_full,cat76,261
76,model_2_2,nested_full,cat77,111
77,model_2_2,nested_full,cat78,82
78,model_2_2,nested_full,cat79,828
79,model_2_2,nested_full,cat80,819
80,model_2_2,nested_full,cat81,974
81,model_2_2,nested_full,cat82,439
82,model_2_2,nested_full,cat83,329
83,model_2_2,nested_full,cat84,578
84,model_2_2,nested_full,cat85,88
85,model_2_2,nested_full,cat86,165
86,model_2_2,nested_full,cat87,772
87,model_2_2,nested_full,cat88,86
88,model_2_2,nested_full,cat89,76
89,model_2_2,nested_full,cat90,132
90,model_2_2,nested_full,cat91,616
91,model_2_2,nested_full,cat92,131
92,model_2_2,nested_full,cat93,189
93,model_2_2,nested_full,cat94,176
94,model_2_2,nested_full,cat95,84
95,model_2_2,nested_full,cat96,24
96,model_2_2,nested_full,cat97,199
97,model_2_2,nested_full,cat98,68
98,model_2_2,nested_full,cat99,470
99,model_2_2,nested_full,cat100,3141
100,model_2_2,nested_full,cat101,2085
101,model_2_2,nested_full,cat102,109
102,model_2_2,nested_full,cat103,880
103,model_2_2,nested_full,cat104,824
104,model_2_2,nested_full,cat105,640
105,model_2_2,nested_full,cat106,1076
106,model_2_2,nested_full,cat107,1596
107,model_2_2,nested_full,cat108,1060
108,model_2_2,nested_full,cat109,490
109,model_2_2,nested_full,cat110,4019
110,model_2_2,nested_full,cat111,1078
111,model_2_2,nested_full,cat112,6190
112,model_2_2,nested_full,cat113,4893
113,model_2_2,nested_full,cat114,1196
114,model_2_2,nested_full,cat115,1679
115,model_2_2,nested_full,cat116,7750
116,model_2_2,nested_full,cont1,2322
117,model_2_2,nested_full,cont2,2763
118,model_2_2,nested_full,cont3,2261
119,model_2_2,nested_full,cont4,1840
120,model_2_2,nested_full,cont5,2122
121,model_2_2,nested_full,cont6,2494
122,model_2_2,nested_full,cont7,3576
123,model_2_2,nested_full,cont8,2494
124,model_2_2,nested_full,cont9,1921
125,model_2_2,nested_full,cont10,1982
126,model_2_2,nested_full,cont11,2085
127,model_2_2,nested_full,cont12,2057
128,model_2_2,nested_full,cont13,2453
129,model_2_2,nested_full,cont14,4795
